Disease,OPCS4code,OPCS4codeDescr,Category,ICD10code,ICD10codeDescr
Diabetic ophthalmic complications,,,Diagnosis of diabetic ophthalmic complications,E113,Non-insulin-dependent diabetes mellitus - With ophthalmic complications
Diabetic ophthalmic complications,,,Diagnosis of diabetic ophthalmic complications,E123,Malnutrition-related diabetes mellitus - With ophthalmic complications
Diabetic ophthalmic complications,,,Diagnosis of diabetic ophthalmic complications,E133,Other specified diabetes mellitus - With ophthalmic complications
Diabetic ophthalmic complications,,,Diagnosis of diabetic ophthalmic complications,E143,Unspecified diabetes mellitus - With ophthalmic complications
Diabetic ophthalmic complications,,,Diagnosis of diabetic ophthalmic complications,H280,Diabetic cataract
Diabetic ophthalmic complications,,,Diagnosis of diabetic ophthalmic complications,H360,Diabetic retinopathy
Primary Malignancy_Multiple independent sites,,,Diagnosis of Primary Malignancy_Multiple independent sites,C97,Malignant neoplasms of independent (primary) multiple sites
Rosacea,,,Diagnosis of Rosacea,L711,Rhinophyma
Rosacea,,,Diagnosis of Rosacea,L718,Other rosacea
Rosacea,,,Diagnosis of Rosacea,L719,"Rosacea, unspecified"
Non-Hodgkin Lymphoma,,,Diagnosis of Non-Hodgkin Lymphoma,C82,Follicular lymphoma
Non-Hodgkin Lymphoma,,,Diagnosis of Non-Hodgkin Lymphoma,C83,Non-follicular lymphoma
Non-Hodgkin Lymphoma,,,Diagnosis of Non-Hodgkin Lymphoma,C84,Mature T/NK-cell lymphomas
Non-Hodgkin Lymphoma,,,Diagnosis of Non-Hodgkin Lymphoma,C85,Other and unspecified types of non-Hodgkin lymphoma
Non-Hodgkin Lymphoma,,,Diagnosis of Non-Hodgkin Lymphoma,C86,Other specified types of T/NK-cell lymphoma
Disorders of autonomic nervous system,,,Diagnosis of autonomic neuropathy,G90,Disorders of autonomic nervous system
Disorders of autonomic nervous system,,,Diagnosis of autonomic neuropathy,G990,Autonomic neuropathy in endocrine and metabolic diseases
Disorders of autonomic nervous system,,,Diagnosis of autonomic neuropathy,G991,Other disorders of autonomic nervous system in other diseases classified elsewhere
Disorders of autonomic nervous system,,,Diagnosis of autonomic neuropathy,M890,Algoneurodystrophy
Diaphragmatic hernia,G23,Repair of diaphragmatic hernia,Procedure for Diaphragmatic hernia,,
Diaphragmatic hernia,G231,Repair of oesophageal hiatus using thoracic approach,Procedure for Diaphragmatic hernia,,
Diaphragmatic hernia,G232,Repair of diaphragmatic hernia using thoracic approach NEC,Procedure for Diaphragmatic hernia,,
Diaphragmatic hernia,G233,Repair of oesophageal hiatus using abdominal approach,Procedure for Diaphragmatic hernia,,
Diaphragmatic hernia,G234,Repair of diaphragmatic hernia using abdominal approach NEC,Procedure for Diaphragmatic hernia,,
Diaphragmatic hernia,G238,Other specified repair of diaphragmatic hernia,Procedure for Diaphragmatic hernia,,
Diaphragmatic hernia,G239,Unspecified repair of diaphragmatic hernia,Procedure for Diaphragmatic hernia,,
Atrial fibrillation,,,Fibrillation and flutter,I48,Atrial fibrillation and flutter
Irritable bowel syndrome,,,Diagnosis of Irritable bowel syndrome,K58,Irritable bowel syndrome
Postcoital and contact bleeding,,,Diagnosis of Postcoital and contact bleeding,N930,Postcoital and contact bleeding
Obstructive and reflux uropathy,,,Diagnosis of Obstructive and reflux uropathy,N130,Hydronephrosis with ureteropelvic junction obstruction
Obstructive and reflux uropathy,,,Diagnosis of Obstructive and reflux uropathy,N131,"Hydronephrosis with ureteral stricture, not elsewhere classified"
Obstructive and reflux uropathy,,,Diagnosis of Obstructive and reflux uropathy,N132,Hydronephrosis with renal and ureteral calculous obstruction
Obstructive and reflux uropathy,,,Diagnosis of Obstructive and reflux uropathy,N133,Other and unspecified hydronephrosis
Obstructive and reflux uropathy,,,Diagnosis of Obstructive and reflux uropathy,N134,Hydroureter
Obstructive and reflux uropathy,,,Diagnosis of Obstructive and reflux uropathy,N135,Kinking and stricture of ureter without hydronephrosis
Obstructive and reflux uropathy,,,Diagnosis of Obstructive and reflux uropathy,N136,Pyonephrosis
Obstructive and reflux uropathy,,,Diagnosis of Obstructive and reflux uropathy,N137,Vesicoureteral-reflux-associated uropathy
Obstructive and reflux uropathy,,,Diagnosis of Obstructive and reflux uropathy,N138,Other obstructive and reflux uropathy
Obstructive and reflux uropathy,,,Diagnosis of Obstructive and reflux uropathy,N139,"Obstructive and reflux uropathy, unspecified"
Depression,,,Diagnosis of Depression,F32,Depressive episode
Depression,,,Diagnosis of Depression,F33,Recurrent depressive disorder
Abdominal aortic aneurysm,,,AAA without leak or rupture,I714,"Abdominal aortic aneurysm, without mention of rupture"
Abdominal aortic aneurysm,,,AAA without leak or rupture,I716,"Thoracoabdominal aortic aneurysm, without mention of rupture"
Abdominal aortic aneurysm,,,AAA without leak or rupture,I719,"Aortic aneurysm of unspecified site, without mention of rupture"
Polycystic ovarian syndrome,,,Diagnosis of Polycystic ovarian syndrome,E282,Polycystic ovarian syndrome
Aspiration pneumonitis,,,Diagnosis of Aspiration pneumonitis,J690,Pneumonitis due to food and vomit
Aspiration pneumonitis,,,Diagnosis of Aspiration pneumonitis,J691,Pneumonitis due to oils and essences
Aspiration pneumonitis,,,Diagnosis of Aspiration pneumonitis,J698,Pneumonitis due to other solids and liquids
Retinal vascular occlusions,,,Diagnosis of Retinal vascular occlusions,H34,Retinal vascular occlusions
Primary Malignancy_Stomach,,,Diagnosis of Primary Malignancy_Stomach,C16,Malignant neoplasm of stomach
Benign neoplasm of ovary,,,Diagnosis of Benign neoplasm of ovary,D27,Benign neoplasm of ovary
Benign neoplasm of ovary,,,Diagnosis of Benign neoplasm of ovary,N830,Follicular cyst of ovary
Benign neoplasm of ovary,,,Diagnosis of Benign neoplasm of ovary,N831,Corpus luteum cyst
Benign neoplasm of ovary,,,Diagnosis of Benign neoplasm of ovary,N832,Other and unspecified ovarian cysts
Alcohol Problems,,,Diagnosis of Alcohol Problems,F101,Mental and behavioural disorders due to use of alcohol - Harmful use
Alcohol Problems,,,Diagnosis of Alcohol Problems,F102,Mental and behavioural disorders due to use of alcohol - Dependence syndrome
Alcohol Problems,,,Diagnosis of Alcohol Problems,F103,Mental and behavioural disorders due to use of alcohol - Withdrawal state
Alcohol Problems,,,Diagnosis of Alcohol Problems,F104,Mental and behavioural disorders due to use of alcohol - Withdrawal state with delirium
Alcohol Problems,,,Diagnosis of Alcohol Problems,F105,Mental and behavioural disorders due to use of alcohol - Psychotic disorder
Alcohol Problems,,,Diagnosis of Alcohol Problems,F106,Mental and behavioural disorders due to use of alcohol - Amnesic syndrome
Alcohol Problems,,,Diagnosis of Alcohol Problems,F107,Mental and behavioural disorders due to use of alcohol - Residual and late-onset psychotic disorder
Alcohol Problems,,,Diagnosis of Alcohol Problems,F108,Mental and behavioural disorders due to use of alcohol - Other mental and behavioural disorders
Alcohol Problems,,,Diagnosis of Alcohol Problems,F109,Mental and behavioural disorders due to use of alcohol - Unspecified mental and behavioural disorder
Alcohol Problems,,,Diagnosis of Alcohol Problems,E244,Alcohol-induced pseudo-Cushing's syndrome
Alcohol Problems,,,Diagnosis of Alcohol Problems,G312,Degeneration of nervous system due to alcohol
Alcohol Problems,,,Diagnosis of Alcohol Problems,G621,Alcoholic polyneuropathy
Alcohol Problems,,,Diagnosis of Alcohol Problems,G721,Alcoholic myopathy
Alcohol Problems,,,Diagnosis of Alcohol Problems,I426,Alcoholic cardiomyopathy
Alcohol Problems,,,Diagnosis of Alcohol Problems,K292,Alcoholic gastritis
Alcohol Problems,,,Diagnosis of Alcohol Problems,K70,Alcoholic liver disease
Alcohol Problems,,,Diagnosis of Alcohol Problems,K852,Alcohol-induced acute pancreatitis
Alcohol Problems,,,Diagnosis of Alcohol Problems,K860,Alcohol-induced chronic pancreatitis
Alcohol Problems,,,Diagnosis of Alcohol Problems,Z502,Alcohol rehabilitation
Alcohol Problems,,,Diagnosis of Alcohol Problems,Z714,Alcohol abuse counselling and surveillance
Meniere disease,,,Diagnosis of Meniere disease,H810,Meniere's disease
Other psychoactive substance misuse,,,Diagnosis of Other psychoactive substance misuse,F11,Mental and behavioural disorders due to use of opioids
Other psychoactive substance misuse,,,Diagnosis of Other psychoactive substance misuse,F12,Mental and behavioural disorders due to use of cannabinoids
Other psychoactive substance misuse,,,Diagnosis of Other psychoactive substance misuse,F13,Mental and behavioural disorders due to use of sedatives or hypnotics
Other psychoactive substance misuse,,,Diagnosis of Other psychoactive substance misuse,F14,Mental and behavioural disorders due to use of cocaine
Other psychoactive substance misuse,,,Diagnosis of Other psychoactive substance misuse,F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine"
Other psychoactive substance misuse,,,Diagnosis of Other psychoactive substance misuse,F16,Mental and behavioural disorders due to use of hallucinogens
Other psychoactive substance misuse,,,Diagnosis of Other psychoactive substance misuse,F18,Mental and behavioural disorders due to use of volatile solvents
Other psychoactive substance misuse,,,Diagnosis of Other psychoactive substance misuse,F19,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances
Spondylolisthesis,,,Diagnosis of Spondylolisthesis,M431,Spondylolisthesis
Multiple myeloma and malignant plasma cell neoplasms,,,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms,C880,Waldenström macroglobulinaemia
Multiple myeloma and malignant plasma cell neoplasms,,,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms,C882,Other heavy chain disease
Multiple myeloma and malignant plasma cell neoplasms,,,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms,C90,Multiple myeloma and malignant plasma cell neoplasms
Spina bifida,,,Diagnosis of Spina bifida,Q05,Spina bifida
Spina bifida,,,Diagnosis of Spina bifida,Q760,Spina bifida occulta
Intervertebral disc disorders,,,Diagnosis of Intervertebral disc disorders,M50,Cervical disc disorders
Intervertebral disc disorders,,,Diagnosis of Intervertebral disc disorders,M51,Other intervertebral disc disorders
Hodgkin Lymphoma,,,Diagnosis of Hodgkin Lymphoma,C81,Hodgkin lymphoma
Multiple sclerosis,,,Diagnosis of Multiple sclerosis,G35,Multiple sclerosis
Hyperparathyroidism,,,Diagnosis of Hyperparathyroidism,E210,Primary hyperparathyroidism
Hyperparathyroidism,,,Diagnosis of Hyperparathyroidism,E211,"Secondary hyperparathyroidism, not elsewhere classified"
Hyperparathyroidism,,,Diagnosis of Hyperparathyroidism,E212,Other hyperparathyroidism
Hyperparathyroidism,,,Diagnosis of Hyperparathyroidism,E213,"Hyperparathyroidism, unspecified"
Benign neoplasm and polyp of uterus,,,Diagnosis of Benign neoplasm and polyp of uterus,D261,Other benign neoplasm: Corpus uteri
Benign neoplasm and polyp of uterus,,,Diagnosis of Benign neoplasm and polyp of uterus,D267,Other benign neoplasm: Other parts of uterus
Benign neoplasm and polyp of uterus,,,Diagnosis of Benign neoplasm and polyp of uterus,D269,"Other benign neoplasm: Uterus, unspecified"
Benign neoplasm and polyp of uterus,,,Diagnosis of Benign neoplasm and polyp of uterus,N840,Polyp of corpus uteri
Polycythaemia vera,,,Diagnosis of Polycythaemia vera,D45,Polycythaemia vera
Thalassaemia,,,Diagnosis of Thalassaemia,D560,Alpha thalassaemia
Thalassaemia,,,Diagnosis of Thalassaemia,D561,Beta thalassaemia
Thalassaemia,,,Diagnosis of Thalassaemia,D562,Delta-beta thalassaemia
Thalassaemia,,,Diagnosis of Thalassaemia,D568,Other thalassaemias
Thalassaemia,,,Diagnosis of Thalassaemia,D569,"Thalassaemia, unspecified"
Postinfective and reactive arthropathies,,,Diagnosis of Postinfective and reactive arthropathies,M02,Reactive arthropathies
Postinfective and reactive arthropathies,,,Diagnosis of Postinfective and reactive arthropathies,M03,Postinfective and reactive arthropathies in diseases classified elsewhere
Visual impairment and blindness,,,Diagnosis of Visual impairment and blindness,H54,Visual impairment including blindness (binocular or monocular)
Epilepsy,,,History of Epilepsy,G40,Epilepsy
Epilepsy,,,History of Epilepsy,G41,Status epilepticus
Collapsed vertebra,,,Diagnosis of Collapsed vertebra,M485,"Collapsed vertebra, not elsewhere classified"
Collapsed vertebra,,,Diagnosis of Collapsed vertebra,M495,Collapsed vertebra in diseases classified elsewhere
Anorectal fistula,,,Diagnosis of Anorectal fistula,K603,Anal fistula
Anorectal fistula,,,Diagnosis of Anorectal fistula,K604,Rectal fistula
Anorectal fistula,,,Diagnosis of Anorectal fistula,K605,Anorectal fistula
Autoimmune liver disease,,,Diagnosis of Autoimmune liver disease,K743,Primary biliary cirrhosis
Autoimmune liver disease,,,Diagnosis of Autoimmune liver disease,K754,Autoimmune hepatitis
Rheumatic fever,,,Diagnosis of Rheumatic fever,I00,Rheumatic fever without mention of heart involvement
Rheumatic fever,,,Diagnosis of Rheumatic fever,I01,Rheumatic fever with heart involvement
Rheumatic fever,,,Diagnosis of Rheumatic fever,I02,Rheumatic chorea
Rheumatic fever,,,History of Rheumatic fever,I05,Rheumatic mitral valve diseases
Rheumatic fever,,,History of Rheumatic fever,I06,Rheumatic aortic valve diseases
Rheumatic fever,,,History of Rheumatic fever,I07,Rheumatic tricuspid valve diseases
Rheumatic fever,,,History of Rheumatic fever,I09,Other rheumatic heart diseases
Sjogren's disease,,,Diagnosis of Sjogren's disease,M350,Sicca syndrome [Sjögren]
HIV,,,Diagnosis of HIV,B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
HIV,,,Diagnosis of HIV,B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
HIV,,,Diagnosis of HIV,B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases
HIV,,,Diagnosis of HIV,B23,Human immunodeficiency virus [HIV] disease resulting in other conditions
HIV,,,Diagnosis of HIV,B24,Unspecified human immunodeficiency virus [HIV] disease
HIV,,,Diagnosis of HIV,F024,Dementia in human immunodeficiency virus [HIV] disease
HIV,,,Diagnosis of HIV,R75,Laboratory evidence of human immunodeficiency virus [HIV]
HIV,,,Diagnosis of HIV,Z21,Asymptomatic human immunodeficiency virus [HIV] infection status
Systemic sclerosis,,,Diagnosis of Systemic sclerosis,M34,Systemic sclerosis
Macular degeneration,,,Diagnosis of Macular degeneration,H353,Degeneration of macula and posterior pole
Secondary Malignancy_Pleura,,,Diagnosis of Secondary Malignancy_Pleura,C782,Secondary malignant neoplasm of pleura
Obsessive-compulsive disorder,,,Diagnosis of Obsessive-compulsive disorder,F42,Obsessive-compulsive disorder
Ischaemic stroke,,,Diagnosis of Ischaemic stroke,I630,Cerebral infarction due to thrombosis of precerebral arteries
Ischaemic stroke,,,Diagnosis of Ischaemic stroke,I631,Cerebral infarction due to embolism of precerebral arteries
Ischaemic stroke,,,Diagnosis of Ischaemic stroke,I632,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries
Ischaemic stroke,,,Diagnosis of Ischaemic stroke,I633,Cerebral infarction due to thrombosis of cerebral arteries
Ischaemic stroke,,,Diagnosis of Ischaemic stroke,I634,Cerebral infarction due to embolism of cerebral arteries
Ischaemic stroke,,,Diagnosis of Ischaemic stroke,I635,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries
Ischaemic stroke,,,Diagnosis of Ischaemic stroke,I638,Other cerebral infarction
Ischaemic stroke,,,Diagnosis of Ischaemic stroke,I639,"Cerebral infarction, unspecified"
Ischaemic stroke,,,History of cerebral infarction,I693,Sequelae of cerebral infarction
Hyperplasia of prostate,,,Diagnosis of Hyperplasia of prostate,N40,Hyperplasia of prostate
Osteoporosis,,,Diagnosis of Osteoporosis,M80,Osteoporosis with pathological fracture
Osteoporosis,,,Diagnosis of Osteoporosis,M81,Osteoporosis without pathological fracture
Osteoporosis,,,Diagnosis of Osteoporosis,M82,Osteoporosis in diseases classified elsewhere
Cataract,,,Diagnosis of Cataract,H25,Senile cataract
Cataract,,,Diagnosis of Cataract,H260,"Infantile, juvenile and presenile cataract"
Cataract,,,Diagnosis of Cataract,H262,Complicated cataract
Cataract,,,History of Cataract,H264,After-cataract
Cataract,,,Diagnosis of Cataract,H268,Other specified cataract
Cataract,,,Diagnosis of Cataract,H269,"Cataract, unspecified"
Cataract,,,Diagnosis of Cataract,H28,Cataract and other disorders of lens in diseases classified elsewhere
Cataract,,,Diagnosis of Cataract,Q120,Congenital cataract
Anorectal prolapse,,,Diagnosis of Anorectal prolapse,K622,Anal prolapse
Anorectal prolapse,,,Diagnosis of Anorectal prolapse,K623,Rectal prolapse
Ptosis of eyelid,,,Diagnosis of ptosis of eyelid,H024,Ptosis of eyelid
Scoliosis,,,Diagnosis of Scoliosis,M41,Scoliosis
Eye infections,,,Diagnosis of Eye infections,A185,Tuberculosis of eye
Eye infections,,,Diagnosis of Eye infections,A211,Oculoglandular tularaemia
Eye infections,,,Diagnosis of Eye infections,A543,Gonococcal infection of eye
Eye infections,,,Diagnosis of Eye infections,A71,Trachoma
Eye infections,,,Diagnosis of Eye infections,A740,Chlamydial conjunctivitis
Eye infections,,,Diagnosis of Eye infections,B005,Herpesviral ocular disease
Eye infections,,,Diagnosis of Eye infections,B023,Zoster ocular disease
Eye infections,,,Diagnosis of Eye infections,B30,Viral conjunctivitis
Eye infections,,,Diagnosis of Eye infections,B580,Toxoplasma oculopathy
Eye infections,,,Diagnosis of Eye infections,B691,Cysticercosis of eye
Eye infections,,,Diagnosis of Eye infections,B872,Ocular myiasis
Eye infections,,,Diagnosis of Eye infections,B940,Sequelae of trachoma
Eye infections,,,Diagnosis of Eye infections,H000,Hordeolum and other deep inflammation of eyelid
Eye infections,,,Diagnosis of Eye infections,H10,Conjunctivitis
Eye infections,,,Diagnosis of Eye infections,H131,Conjunctivitis in infectious and parasitic diseases classified elsewhere
Eye infections,,,Diagnosis of Eye infections,H191,Herpesviral keratitis and keratoconjunctivitis
Eye infections,,,Diagnosis of Eye infections,H192,Keratitis and keratoconjunctivitis in other infectious and parasitic diseases classified elsewhere
Eye infections,,,Diagnosis of Eye infections,P391,Neonatal conjunctivitis and dacryocystitis
Spondylosis,,,Diagnosis of Spondylosis,M471,Other spondylosis with myelopathy
Spondylosis,,,Diagnosis of Spondylosis,M472,Other spondylosis with radiculopathy
Spondylosis,,,Diagnosis of Spondylosis,M478,Other spondylosis
Spondylosis,,,Diagnosis of Spondylosis,M479,"Spondylosis, unspecified"
Intellectual disability,,,Diagnosis of Intellectual disability,F70,Mild mental retardation
Intellectual disability,,,Diagnosis of Intellectual disability,F71,Moderate mental retardation
Intellectual disability,,,Diagnosis of Intellectual disability,F72,Severe mental retardation
Intellectual disability,,,Diagnosis of Intellectual disability,F73,Profound mental retardation
Intellectual disability,,,Diagnosis of Intellectual disability,F78,Other mental retardation
Intellectual disability,,,Diagnosis of Intellectual disability,F79,Unspecified mental retardation
Intellectual disability,,,Diagnosis of Intellectual disability,F819,"Developmental disorder of scholastic skills, unspecified"
Infection of liver,,,Diagnosis of Infection of liver,A064,Amoebic liver abscess
Infection of liver,,,Diagnosis of Infection of liver,B15,Acute hepatitis A
Infection of liver,,,Diagnosis of Infection of liver,B16,Acute hepatitis B
Infection of liver,,,Diagnosis of Infection of liver,B17,Other acute viral hepatitis
Infection of liver,,,Diagnosis of Infection of liver,B18,Chronic viral hepatitis
Infection of liver,,,Diagnosis of Infection of liver,B19,Unspecified viral hepatitis
Infection of liver,,,Diagnosis of Infection of liver,B251,Cytomegaloviral hepatitis
Infection of liver,,,Diagnosis of Infection of liver,B581,Toxoplasma hepatitis
Infection of liver,,,Diagnosis of Infection of liver,B670,Echinococcus granulosus infection of liver
Infection of liver,,,Diagnosis of Infection of liver,B675,Echinococcus multilocularis infection of liver
Infection of liver,,,Diagnosis of Infection of liver,B678,"Echinococcosis, unspecified, of liver"
Infection of liver,,,Diagnosis of Infection of liver,B942,Sequelae of viral hepatitis
Infection of liver,,,Diagnosis of Infection of liver,K750,Abscess of liver
Infection of liver,,,Diagnosis of Infection of liver,K770,Liver disorders in infectious and parasitic diseases classified elsewhere
Seborrheic dermatitis,,,Diagnosis of Seborrheic dermatitis,L21,Seborrhoeic dermatitis
Parasitic infections,,,Diagnosis of Parasitic infections,A06,Amoebiasis
Parasitic infections,,,Diagnosis of Parasitic infections,A07,Other protozoal intestinal diseases
Parasitic infections,,,Diagnosis of Parasitic infections,A59,Trichomoniasis
Parasitic infections,,,Diagnosis of Parasitic infections,B50,Plasmodium falciparum malaria
Parasitic infections,,,Diagnosis of Parasitic infections,B51,Plasmodium vivax malaria
Parasitic infections,,,Diagnosis of Parasitic infections,B52,Plasmodium malariae malaria
Parasitic infections,,,Diagnosis of Parasitic infections,B53,Other parasitologically confirmed malaria
Parasitic infections,,,Diagnosis of Parasitic infections,B54,Unspecified malaria
Parasitic infections,,,Diagnosis of Parasitic infections,B55,Leishmaniasis
Parasitic infections,,,Diagnosis of Parasitic infections,B56,African trypanosomiasis
Parasitic infections,,,Diagnosis of Parasitic infections,B57,Chagas' disease
Parasitic infections,,,Diagnosis of Parasitic infections,B58,Toxoplasmosis
Parasitic infections,,,Diagnosis of Parasitic infections,B60,"Other protozoal diseases, not elsewhere classified"
Parasitic infections,,,Diagnosis of Parasitic infections,B64,Unspecified protozoal disease
Parasitic infections,,,Diagnosis of Parasitic infections,B65,Schistosomiasis [bilharziasis]
Parasitic infections,,,Diagnosis of Parasitic infections,B66,Other fluke infections
Parasitic infections,,,Diagnosis of Parasitic infections,B67,Echinococcosis
Parasitic infections,,,Diagnosis of Parasitic infections,B68,Taeniasis
Parasitic infections,,,Diagnosis of Parasitic infections,B69,Cysticercosis
Parasitic infections,,,Diagnosis of Parasitic infections,B70,Diphyllobothriasis and sparganosis
Parasitic infections,,,Diagnosis of Parasitic infections,B71,Other cestode infections
Parasitic infections,,,Diagnosis of Parasitic infections,B72,Dracunculiasis
Parasitic infections,,,Diagnosis of Parasitic infections,B73,Onchocerciasis
Parasitic infections,,,Diagnosis of Parasitic infections,B74,Filariasis
Parasitic infections,,,Diagnosis of Parasitic infections,B75,Trichinellosis
Parasitic infections,,,Diagnosis of Parasitic infections,B76,Hookworm diseases
Parasitic infections,,,Diagnosis of Parasitic infections,B77,Ascariasis
Parasitic infections,,,Diagnosis of Parasitic infections,B78,Strongyloidiasis
Parasitic infections,,,Diagnosis of Parasitic infections,B79,Trichuriasis
Parasitic infections,,,Diagnosis of Parasitic infections,B80,Enterobiasis
Parasitic infections,,,Diagnosis of Parasitic infections,B81,"Other intestinal helminthiases, not elsewhere classified"
Parasitic infections,,,Diagnosis of Parasitic infections,B82,Unspecified intestinal parasitism
Parasitic infections,,,Diagnosis of Parasitic infections,B83,Other helminthiases
Parasitic infections,,,Diagnosis of Parasitic infections,B85,Pediculosis and phthiriasis
Parasitic infections,,,Diagnosis of Parasitic infections,B86,Scabies
Parasitic infections,,,Diagnosis of Parasitic infections,B87,Myiasis
Parasitic infections,,,Diagnosis of Parasitic infections,B88,Other infestations
Parasitic infections,,,Diagnosis of Parasitic infections,B89,Unspecified parasitic disease
Parasitic infections,,,Diagnosis of Parasitic infections,J173,Pneumonia in parasitic diseases
Parasitic infections,,,Diagnosis of Parasitic infections,K231,Megaoesophagus in Chagas' disease
Parasitic infections,,,Diagnosis of Parasitic infections,P371,Congenital toxoplasmosis
Portal hypertension,,,Diagnosis of Portal hypertension,K766,Portal hypertension
Anal fissure,H564,Excision of anal fissure,Procedure for Anal fissure,,
Abdominal Hernia,T19,Simple excision of inguinal hernial sac,Procedure for Abdominal Hernia,,
Abdominal Hernia,T191,Bilateral herniotomy,Procedure for Abdominal Hernia,,
Abdominal Hernia,T192,Unilateral herniotomy,Procedure for Abdominal Hernia,,
Abdominal Hernia,T193,Ligation of patent processus vaginalis,Procedure for Abdominal Hernia,,
Abdominal Hernia,T198,Other specified simple excision of inguinal hernial sac,Procedure for Abdominal Hernia,,
Abdominal Hernia,T199,Unspecified simple excision of inguinal hernial sac,Procedure for Abdominal Hernia,,
Abdominal Hernia,T20,Primary repair of inguinal hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T201,Primary repair of inguinal hernia using insert of natural material,Procedure for Abdominal Hernia,,
Abdominal Hernia,T202,Primary repair of inguinal hernia using insert of prosthetic material,Procedure for Abdominal Hernia,,
Abdominal Hernia,T203,Primary repair of inguinal hernia using sutures,Procedure for Abdominal Hernia,,
Abdominal Hernia,T204,Primary repair of inguinal hernia and reduction of sliding hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T208,Other specified primary repair of inguinal hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T209,Unspecified primary repair of inguinal hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T21,Repair of recurrent inguinal hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T211,Repair of recurrent inguinal hernia using insert of natural material,Procedure for Abdominal Hernia,,
Abdominal Hernia,T212,Repair of recurrent inguinal hernia using insert of prosthetic material,Procedure for Abdominal Hernia,,
Abdominal Hernia,T213,Repair of recurrent inguinal hernia using sutures,Procedure for Abdominal Hernia,,
Abdominal Hernia,T214,Removal of prosthetic material from previous repair of inguinal hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T218,Other specified repair of recurrent inguinal hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T219,Unspecified repair of recurrent inguinal hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T22,Primary repair of femoral hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T221,Primary repair of femoral hernia using insert of natural material,Procedure for Abdominal Hernia,,
Abdominal Hernia,T222,Primary repair of femoral hernia using insert of prosthetic material,Procedure for Abdominal Hernia,,
Abdominal Hernia,T223,Primary repair of femoral hernia using sutures,Procedure for Abdominal Hernia,,
Abdominal Hernia,T228,Other specified primary repair of femoral hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T229,Unspecified primary repair of femoral hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T23,Repair of recurrent femoral hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T231,Repair of recurrent femoral hernia using insert of natural material,Procedure for Abdominal Hernia,,
Abdominal Hernia,T232,Repair of recurrent femoral hernia using insert of prosthetic material,Procedure for Abdominal Hernia,,
Abdominal Hernia,T233,Repair of recurrent femoral hernia using sutures,Procedure for Abdominal Hernia,,
Abdominal Hernia,T234,Removal of prosthetic material from previous repair of femoral hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T238,Other specified repair of recurrent femoral hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T239,Unspecified repair of recurrent femoral hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T24,Primary repair of umbilical hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T241,Repair of umbilical hernia using insert of natural material,Procedure for Abdominal Hernia,,
Abdominal Hernia,T242,Repair of umbilical hernia using insert of prosthetic material,Procedure for Abdominal Hernia,,
Abdominal Hernia,T243,Repair of umbilical hernia using sutures,Procedure for Abdominal Hernia,,
Abdominal Hernia,T244,Removal of prosthetic material from previous repair of umbilical hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T248,Other specified primary repair of umbilical hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T249,Unspecified primary repair of umbilical hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T25,Primary repair of incisional hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T251,Primary repair of incisional hernia using insert of natural material,Procedure for Abdominal Hernia,,
Abdominal Hernia,T252,Primary repair of incisional hernia using insert of prosthetic material,Procedure for Abdominal Hernia,,
Abdominal Hernia,T253,Primary repair of incisional hernia using sutures,Procedure for Abdominal Hernia,,
Abdominal Hernia,T258,Other specified primary repair of incisional hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T259,Unspecified primary repair of incisional hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T26,Repair of recurrent incisional hernia,Procedure for Abdominal Hernia,,
